项目,行次,本月数,本年累计,上年同期,下月预计数,下月累计数,预计环比增减（%）
 1.营业总收入,1,,,,,,
 2.销售费用,2,,,,,,
 3.管理费用,3,,,,,,
 4.研发费用,4,,,,,,
 5.财务费用,5,,,,,,
 6.利润总额,6,,,,,,
 7.固定资产投资额,7,,,,,,
 8.劳动生产总值,8,,,,,,
 9.工业总产值,9,,,,,,
 10.工业销售产值,10,,,,,,
 11.新产品产值,11,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,10,,
