填报表,,,,
项目,行次,本月数,本年累计,上年同期（取金蝶）
1.营业总收入,1,,,
2.营业成本,2,,,
3.税金及附加,3,,,
4.销售费用,4,,,
5.管理费用,5,,,
6.研发费用,6,,,
7.财务费用,7,,,
  其中：利息费用,8,,,
        汇兑净损失（净收益以“-”号填列）,9,,,
8.资产减值损失（损失以“-”号填列）,10,,,
9.信用减值损失（损失以“-”号填列）,11,,,
10.其他收益,12,,,
11.投资收益（损失以“-”号填列）,13,,,
   其中：对联营企业和合营企业的投资收益,14,,,
12.公允价值变动收益（损失以“-”号填列）,15,,,
13.资产处置收益（损失以“-”号填列）,16,,,
14.营业利润（亏损以“－”号填列）,17,,,
15.营业外收支净额,18,,,
   其中：政府补助,19,,,
16.利润总额（亏损以“－”号填列）,20,,,
17.净利润（亏损以“－”号填列）,21,,,
   其中：归属于母公司所有者的净利润,22,,,
18.资产总额,23,,,
19.流动资产,24,,,
   其中：货币资金,25,,,
         应收票据,26,,,
         应收账款,27,,,
         存货,28,,,
          其中：原材料,29,,,
                库存商品(产成品),30,,,
         合同资产,31,,,
20.负债总额,32,,,
21.流动负债,33,,,
   其中：应付票据,34,,,
         应付账款,35,,,
22.带息负债总额,36,,,
   其中：银行借款,37,,,
         应付债券,38,,,
23.所有者权益总额,39,,,
   其中：归属于母公司的所有者权益总额,40,,,
24.经营活动产生的现金流量净额,41,,,
   其中：经营活动现金流入,,,,
25.资本化利息支出,42,,,
26.应交税费总额,43,,,
   其中：应交增值税,,,,
         应交消费税,,,,
         应交所得税,,,,
27.已交税费总额,44,,,
   其中：已交增值税,45,,,
         已交消费税,46,,,
         已交所得税,47,,,
28.应发职工薪酬总额,,,,
29.实际发放职工薪酬总额,,,,
   其中：职工工资总额,48,,,
         其中：在岗职工工资总额,49,,,
         劳务派遣费用,50,,,
29.职工人数（人）（不含劳务派遣人员）,51,,,
   其中：在岗职工人数（人）,52,,,
30.从业人员人数（人）,53,,,
   其中：劳务派遣人数,,,,
31.固定资产投资额,54,,,
32.计提的资产折旧额,55,,,
33.劳动生产总值,56,,,
34.工业总产值,57,,,
35.工业销售产值,58,,,
36.出口产品销售收入,59,,,
37.新产品产值,60,,,
39.三新营业收入,,,,
38.研发（R&D）经费投入,61,,,
41.上市公司市值,,,,
,,,,
,,,,
,,——,,
