现金流量表,,,,,,
,,,,,,企财03表
编辑单位：,南宁产投智创科电投资开发有限责任公司,,,,2025年9月,金额单位：元
项              目,,行次,本期金额,本年累计,上年同期,上年累计
一、经营活动产生的现金流量：,,1,,,,
    销售商品、提供劳务收到的现金,,2,0.00,"7,918,675.89","655,013.07","2,901,925.49"
  △客户存款和同业存放款项净增加额,,3,,,,
  △向中央银行借款净增加额,,4,,,,
  △向其他金融机构拆入资金净增加额,,5,,,,
  △收到原保险合同保费取得的现金,,6,,,,
  △收到再保险业务现金净额,,7,,,,
  △保户储金及投资款净增加额,,8,,,,
  △处置以公允价值计量且其变动计入当期损益的金融资产净增加额,,9,,,,
  △收取利息、手续费及佣金的现金,,10,,,,
  △拆入资金净增加额,,11,,,,
  △回购业务资金净增加额,,12,,,,
    收到的税费返还,,13,0.00,0.00,332.75,332.75
    收到其他与经营活动有关的现金,,14,"2,100,000.00","15,079,688.29","310,652.59","11,333,866.39"
经营活动现金流入小计,,15,"2,100,000.00","22,998,364.18","965,998.41","14,236,124.63"
    购买商品、接受劳务支付的现金,,16,"56,232.33","2,649,768.46",0.00,0.00
  △客户贷款及垫款净增加额,,17,,,,
  △存放中央银行和同业款项净增加额,,18,,,,
  △支付原保险合同赔付款项的现金,,19,,,,
  △支付利息、手续费及佣金的现金,,20,,,,
  △支付保单红利的现金,,21,,,,
    支付给职工以及为职工支付的现金,,22,0.00,0.00,0.00,0.00
    支付的各项税费,,23,0.00,"1,317,905.15",707.40,"16,271.86"
    支付其他与经营活动有关的现金,,24,0.00,"78,874.56",0.00,0.00
经营活动现金流出小计,,25,"56,232.33","4,046,548.17",707.40,"16,271.86"
经营活动产生的现金流量净额,,26,"2,043,767.67","18,951,816.01","965,291.01","14,219,852.77"
二、投资活动产生的现金流量：,,27,,,,
    收回投资收到的现金,,28,0.00,0.00,0.00,0.00
 取得投资收益收到的现金,,29,0.00,0.00,0.00,0.00
    处置固定资产、无形资产和其他长期资产所收回的现金净额,,30,0.00,0.00,0.00,0.00
    处置子公司及其他营业单位收回的现金净额,,31,0.00,0.00,0.00,0.00
    收到其他与投资活动有关的现金,,32,0.00,0.00,0.00,0.00
投资活动现金流入小计,,33,0.00,0.00,0.00,0.00
    购建固定资产、无形资产和其他长期资产所支付的现金,,34,"3,256.11","66,597,676.39","3,852,307.94","150,599,618.69"
    投资支付的现金,,35,0.00,0.00,0.00,0.00
  △质押贷款净增加额,,36,,,,
    取得子公司及其他营业单位支付的现金净额,,37,0.00,0.00,0.00,0.00
    支付其他与投资活动有关的现金,,38,0.00,0.00,0.00,0.00
投资活动现金流出小计,,39,"3,256.11","66,597,676.39","3,852,307.94","150,599,618.69"
投资活动产生的现金流量净额,,40,"-3,256.11","-66,597,676.39","-3,852,307.94","-150,599,618.69"
三、筹资活动产生的现金流量：,,41,,,,
    吸收投资收到的现金,,42,0.00,"1,210,000.00",0.00,"8,820,000.00"
        其中：子公司吸收少数股东投资收到的现金,,43,,,,
    取得借款收到的现金,,44,0.00,"55,506,803.88",0.00,"131,769,000.00"
    收到其他与筹资活动有关的现金,,45,0.00,0.00,0.00,0.00
筹资活动现金流入小计,,46,0.00,"56,716,803.88",0.00,"140,589,000.00"
    偿还债务支付的现金,,47,0.00,"10,040,136.02",0.00,"560,000.00"
    分配股利、利润或偿付利息支付的现金,,48,"857,191.04","5,182,744.99",0.00,"81,596.67"
        其中：子公司支付给少数股东的股利、利润,,49,,,,
    支付其他与筹资活动有关的现金,,50,0.00,"32,810.28","310,033.61","436,220.21"
筹资活动现金流出小计,,51,"857,191.04","15,255,691.29","310,033.61","1,077,816.88"
筹资活动产生的现金流量净额,,52,"-857,191.04","41,461,112.59","-310,033.61","139,511,183.12"
四、汇率变动对现金及现金等价物的影响,,53,0.00,0.00,0.00,0.00
五、现金及现金等价物净增加额,,54,"1,183,320.52","-6,184,747.79","-3,197,050.54","3,131,417.20"
    加：期初现金及现金等价物余额,,55,"7,377,542.51","14,745,610.82","10,633,371.52","4,304,903.78"
六、期末现金及现金等价物余额,,56,"8,560,863.03","8,560,863.03","7,436,320.98","7,436,320.98"
    现金流量附表披露,,57,,,,
        将净利润调节为经营活动现金流量,,58,,,,
            净利润,,59,"1,140,632.52","3,000,346.79","77,275.51","1,561,916.02"
            加：资产减值准备,,60,0.00,0.00,0.00,0.00
            固定资产折旧、油气资产折耗、生产性生物资产折旧,,61,"565,009.77","5,085,087.93","521,342.03","2,665,771.82"
            无形资产摊销,,62,"33,812.45","304,312.05","91,424.80","822,823.20"
            长期待摊费用摊销,,63,0.00,0.00,0.00,0.00
            待摊费用减少（增加以“—”号填列）,,64,,,,
            预提费用增加（减少以“—”号填列）,,65,,,,
            处理固定资产、无形资产和其他长期资产的损失（收益以“—”号填列）,,66,,,,
            固定资产报废损失（收益以“—”号填列）,,67,,,,
            公允价值变动损失（收益以“—”号填列）,,68,0.00,0.00,0.00,0.00
            财务费用（收益以“—”号填列）,,69,,,,
            投资损失（收益以“—”号填列）,,70,,,,
      递延所得税资产减少（增加以“—”号填列）,,71,0.00,0.00,0.00,0.00
      递延所得税负债增加（减少以“—”号填列）,,72,0.00,0.00,0.00,0.00
      存货的减少（增加以“—”号填列）,,73,,,,
      经营性应收项目的减少（增加以“—”号填列),,74,,,,
      经营性应付项目的增加（减少以“—”号填列）,,75,,,,
            其他,,76,,,,
    经营活动产生的现金流量净额,,77,"1,739,454.74","8,389,746.77","690,042.34","5,050,511.04"
    不涉及现金收支的重大投资和筹资活动,,78,,,,
        债务转为资本,,79,,,,
        一年内到期的可转换公司债券,,80,,,,
        融资租入固定资产,,81,,,,
现金等价物净变动情况,,82,,,,
    现金的期末余额,,83,"8,560,863.03","8,560,863.03","7,436,320.98","7,436,320.98"
    减：现金的期初余额,,84,,,,
    加：现金等价物的期末余额,,85,,,,
    减：现金等价物的期初余额,,86,,,,
    现金及现金等价物净增加额,,87,,,,
